event_id,event_type,start_time,execute_time,camera_direction,covered_targets,num_covered_targets,target_angles,speed,acceleration,min_distance,max_distance,margin,fov_degree
P_00026,photo,508.05,508.55,-60.0,"P01,P02",2,"-81.6,-61.8",0.8385381659497585,0.8395874566903101,28.385574616185853,32.77325716940503,0.008966138909640708,45.0
P_00027,photo,508.55,509.05,-80.0,"P01,P02",2,"-80.0,-60.6",0.7492238966865028,0.4063539301558871,29.43789799214466,33.56488614591003,0.21450379513633233,45.0
P_00028,photo,508.55,509.05,-60.0,"P01,P02",2,"-80.0,-60.6",0.7492238966865028,0.4063539301558871,29.43789799214466,33.56488614591003,0.21450379513633233,45.0
P_00029,photo,509.05,509.55,-80.0,"P01,P02",2,"-78.7,-59.5",0.907783338421264,0.6425595493358386,30.09558387760118,34.00101452986921,0.199966182337693,45.0
P_00030,photo,509.05,509.55,-60.0,"P01,P02",2,"-78.7,-59.5",0.907783338421264,0.6425595493358386,30.09558387760118,34.00101452986921,0.199966182337693,45.0
P_00031,photo,509.55,510.05,-80.0,"P01,P02",2,"-78.9,-59.3",1.0996050448628671,1.0074772954333542,29.384388574796,33.28522117037117,0.19561113705138927,45.0
P_00032,photo,509.55,510.05,-60.0,"P01,P02",2,"-78.9,-59.3",1.0996050448628671,1.0074772954333542,29.384388574796,33.28522117037117,0.19561113705138927,45.0
P_00033,photo,510.05,510.55,-80.0,"P01,P02",2,"-79.2,-59.6",1.1888829373136929,0.5588630741487159,29.256288891718302,33.21357569266479,0.1147656284092684,45.0
P_00034,photo,510.05,510.55,-60.0,"P01,P02",2,"-79.2,-59.6",1.1888829373136929,0.5588630741487159,29.256288891718302,33.21357569266479,0.1147656284092684,45.0
P_00035,photo,510.55,511.05,-80.0,"P01,P02",2,"-80.1,-61.2",1.1789166258937291,1.2236699002236058,30.181420632803615,34.37250975547575,0.18422006651759615,45.0
P_00036,photo,510.55,511.05,-60.0,"P01,P02",2,"-80.1,-61.2",1.1789166258937291,1.2236699002236058,30.181420632803615,34.37250975547575,0.18422006651759615,45.0
P_00037,photo,511.05,511.55,-80.0,"P01,P02",2,"-79.8,-61.3",1.2495048297121467,0.6286001039068954,30.94330301543895,35.11284048114524,0.15755635738666715,45.0
P_00038,photo,511.05,511.55,-60.0,"P01,P02",2,"-79.8,-61.3",1.2495048297121467,0.6286001039068954,30.94330301543895,35.11284048114524,0.15755635738666715,45.0
P_00039,photo,511.55,512.05,-80.0,"P01,P02",2,"-81.1,-63.5",1.470328725143792,1.1351918539827195,31.781122187845433,36.268146629057455,0.01978084990413868,45.0
P_00040,photo,511.55,512.05,-65.0,"P01,P02",2,"-81.1,-63.5",1.470328725143792,1.1351918539827195,31.781122187845433,36.268146629057455,0.01978084990413868,45.0
P_00041,photo,515.05,515.55,-65.0,P02,1,-66.9,1.1448141350723287,0.9790750570991043,36.79099550808548,36.79099550808548,0.10182442473553219,45.0
P_00042,photo,515.55,516.05,-65.0,P02,1,-67.0,1.2136091979190324,0.2023063547159421,36.58309932425233,36.58309932425233,0.10696681639715067,45.0
P_00043,photo,516.05,516.55,-65.0,P02,1,-66.3,1.0429754839865852,0.7067514769395368,37.22956965975855,37.22956965975855,0.09234767800804823,45.0
P_00044,photo,516.55,517.05,-70.0,P02,1,-69.4,1.098498396758366,0.9101349356853263,37.64798739854826,37.64798739854826,0.06193570440117379,45.0
P_00045,photo,517.05,517.55,-70.0,P02,1,-70.1,1.073641585433568,0.176433448564837,37.659255841064116,37.659255841064116,0.06856791708154948,45.0
P_00046,photo,517.55,518.05,-70.0,P02,1,-70.2,1.1664606260032093,0.561636194707467,38.58408863321654,38.58408863321654,0.04719704555944872,45.0
