task_key,任务,目标编号,exec_time,start_time,distance,angle_deg,speed,acceleration,window_points,margin_mean,margin_worst,scenario_feasible_rate,feasible_scenarios,margin,normalized_margin,bottleneck_constraint
射击|S11|516.4,射击,S11,516.35,514.85,20.015662629823815,-33.556033834287014,1.0436937711495176,0.7607874690221635,16,0.10166370716293487,0.0,0.4,2,0.10166370716293487,0.10166370716293487,acceleration
射击|S11|516.8,射击,S11,516.75,515.25,20.543301199419396,-37.12752698931407,1.1666410569858088,0.3842490897136993,16,0.1160334750164476,0.0,0.4,2,0.1160334750164476,0.1160334750164476,acceleration
射击|S11|517.0,射击,S11,516.95,515.45,20.205265270287345,-40.46613259954781,1.1654573230821872,0.6625516809570139,16,0.10166370716293487,0.0,0.4,2,0.10166370716293487,0.10166370716293487,acceleration
射击|S11|517.2,射击,S11,517.15,515.65,19.330041299794157,-36.6104043952696,1.0413801907677094,0.6787689165704001,16,0.028765988370625124,0.0,0.2,1,0.028765988370625124,0.028765988370625124,acceleration
射击|S11|517.4,射击,S11,517.45,515.95,20.128325522111055,-40.29167672278315,1.0156085358104443,0.3705413612768602,16,0.12215500597331401,0.0,0.6,3,0.12215500597331401,0.12215500597331401,acceleration
射击|S11|517.6,射击,S11,517.55,516.05,19.334435836884417,-39.45861357438476,1.1099725554332671,0.3636214883765271,16,0.05047396106823424,0.0,0.2,1,0.05047396106823424,0.05047396106823424,acceleration
射击|S11|517.8,射击,S11,517.75,516.25,19.312192565898478,-40.30946735584687,1.1201842249266267,0.7508589895793586,16,0.045361312520347676,0.0,0.2,1,0.045361312520347676,0.045361312520347676,acceleration
射击|S11|518.0,射击,S11,518.05,516.55,20.505667971989777,-42.22307051205928,1.198322440974963,0.4503899455398942,16,0.06538088386227076,0.0,0.2,1,0.06538088386227076,0.06538088386227076,acceleration
射击|S11|518.2,射击,S11,518.15,516.65,20.43898715323256,-40.90517649467441,1.1794797084454822,0.5063494185882438,16,0.14601613000344055,0.0,0.6,3,0.14601613000344055,0.14601613000344055,acceleration
射击|S11|518.4,射击,S11,518.35,516.85,20.232421331501556,-41.39617292663479,1.1342257309339148,0.5930363701213723,16,0.06538088386227076,0.0,0.2,1,0.06538088386227076,0.06538088386227076,acceleration
射击|S11|520.4,射击,S11,520.45,518.95,23.15223891902771,-45.62906277301915,1.1632367685089355,0.15305929391073472,16,0.005731573317315508,0.0,0.2,1,0.005731573317315508,0.005731573317315508,acceleration
射击|S11|520.6,射击,S11,520.55,519.05,23.35533791910455,-45.26548544136337,1.1585440276029226,0.4789428805393988,16,0.009913585350433015,0.0,0.2,1,0.009913585350433015,0.009913585350433015,acceleration
射击|S11|521.2,射击,S11,521.15,519.65,24.288903966585206,-46.081785286394975,1.1728179131419572,0.4062989760075311,16,0.015645158667748522,0.0,0.4,2,0.015645158667748522,0.015645158667748522,acceleration
射击|S11|523.8,射击,S11,523.75,522.25,24.71044549517297,-44.40393847292931,0.8059476587389233,0.6158328518821986,16,0.09582134267072326,0.0,0.8,4,0.09582134267072326,0.09582134267072326,acceleration
射击|S11|524.0,射击,S11,523.95,522.45,24.751845849260455,-42.67988243445474,0.5199443617938289,0.3081800179220065,16,0.04437728077512494,0.0,0.4,2,0.04437728077512494,0.04437728077512494,acceleration
射击|S11|524.4,射击,S11,524.35,522.85,25.717128557128788,-44.44418713320907,0.9407585421175084,1.0583709173136266,16,0.07667933986569356,0.0,0.6,3,0.07667933986569356,0.07667933986569356,acceleration
射击|S11|524.6,射击,S11,524.55,523.05,26.01921065144793,-42.83102856459424,1.0656530528050554,0.6390453669248206,16,0.07678470131651417,0.0,0.6,3,0.07678470131651417,0.07678470131651417,acceleration
射击|S11|525.0,射击,S11,524.95,523.45,27.12289805302221,-41.546870636855985,1.2036962608373687,0.6785009876821255,16,0.05034521756072661,0.0,0.6,3,0.05034521756072661,0.05034521756072661,distance_upper
射击|S11|525.2,射击,S11,525.25,523.75,26.92112861470639,-40.301275802743255,1.2220612998201703,0.8141028089800747,16,0.023917949551309676,0.0,0.2,1,0.023917949551309676,0.023917949551309676,distance_upper
