时间(s),residual_x_before,residual_y_before,residual_x_after,residual_y_after,residual_norm_after
300.0263006076751,3.952769151103812,-2.1957997246115033,0.47279723438917465,-0.3736803272156486,0.6026393712611601
300.1263006076751,3.8931325564155443,-2.105578889717148,0.4131606397009069,-0.2834594923212932,0.5010498957041184
300.22630060767506,3.8814533491641505,-1.8972970204762567,0.40148143244951306,-0.07517762308040199,0.40845931941104235
300.3263006076751,3.9276162371858945,-1.6082077740315945,0.447644320471257,0.21391162336426017,0.496128632776326
300.4263006076751,4.004664310699084,-1.376001600510562,0.5246923939844468,0.44611779688529274,0.688711258077663
300.5263006076751,4.05520903717775,-1.3335513622782336,0.5752371204631128,0.48856803511762115,0.7547161517401008
300.6263006076751,4.061762267800503,-1.4335923130484909,0.581790351085866,0.3885270843473638,0.6995951028188224
300.72630060767506,4.093710838430415,-1.5712785367466804,0.6137389217157772,0.2508408606491743,0.6630208152087409
300.8263006076751,4.1706247738130315,-1.675506439254757,0.6906528570983941,0.14661295814109776,0.706043007551989
300.9263006076751,4.230601551634582,-1.6882132916443373,0.7506296349199442,0.1339061057515174,0.7624799630007238
301.0263006076751,4.261035777668408,-1.644817875382802,0.7810638609537701,0.17730152201305271,0.8009348191932695
301.1263006076751,4.276168780715796,-1.6066309665303056,0.7961968640011587,0.21548843086554914,0.8248422334496314
301.22630060767506,4.2524164161866835,-1.6017649606652262,0.7724444994720461,0.2203544367306285,0.8032599719589495
301.3263006076751,4.173661934708388,-1.6322350652163697,0.6936900179937506,0.18988433217948497,0.7192092189838915
301.4263006076751,4.112768269992078,-1.6473468226332428,0.6327963532774401,0.17477257476261188,0.6564881397332167
301.5263006076751,4.124528585444008,-1.6046524462776757,0.6445566687293702,0.21746695111817904,0.6802537570878529
301.6263006076751,4.1088814015566655,-1.5445568399025311,0.628909484842028,0.2775625574933236,0.6874358976999235
301.72630060767506,3.972933733415161,-1.5404405902246048,0.4929618167005234,0.28167880717124993,0.5677625411508747
301.8263006076751,3.8149563995269027,-1.6926254962262695,0.3349844828122652,0.12949390116958526,0.3591424148789991
301.9263006076751,3.723394404205397,-1.9784297591019668,0.24342248749075956,-0.15631036170611212,0.28928780927112124
302.0263006076751,3.5860977088032797,-2.130063210530651,0.10612579208864226,-0.30794381313479624,0.32571778550524383
302.1263006076751,3.327032305515413,-1.9796163180980964,-0.1529396111992245,-0.15749692070224164,0.2195354292693053
302.22630060767506,3.1501974954908825,-1.7603113484508197,-0.329774421223755,0.061808048945035,0.33551662225269024
302.3263006076751,3.246809548425656,-1.7326577059196744,-0.23316236828898163,0.08946169147618033,0.24973602909453407
302.4263006076751,3.453017238327373,-1.8406629704906154,-0.026954678387264508,-0.018543573094760735,0.03271725523453333
302.5263006076751,3.533913072728975,-1.8891695566458104,0.053941156014337466,-0.06705015924995572,0.08605447209533923
302.6263006076751,3.468949685941812,-1.7861368773093225,-0.011022230772825381,0.035982520086532244,0.03763284898844512
302.72630060767506,3.3448396671702803,-1.634956141168644,-0.1351322495443572,0.18716325622721075,0.23084802218882225
302.8263006076751,3.195013049355083,-1.513072271150521,-0.28495886735955445,0.3090471262453338,0.42037088663148336
302.9263006076751,3.0792036632043533,-1.3786776227813904,-0.4007682535102841,0.4434417746144643,0.5977087923854799
303.0263006076751,3.150209845216267,-1.2509344711333577,-0.32976207149837045,0.5711849262624971,0.659541692229074
303.1263006076751,3.450093909403595,-1.2113593598982484,-0.02987800731104251,0.6107600374976063,0.6114904077129552
303.22630060767506,3.660139129574233,-1.2855892413596435,0.1801672128595957,0.5365301560362112,0.5659724665792816
303.3263006076751,3.477373372212295,-1.4806750660834322,-0.002598544502342648,0.34144433131242247,0.34145421921381786
303.4263006076751,3.0636577252444006,-1.7474540003541161,-0.41631419147023685,0.07466539704173858,0.42295676792660203
303.5263006076751,2.736618990942418,-1.9382294467884051,-0.7433529257722196,-0.11611004939255043,0.7523663441595853
303.6263006076751,2.636826410898511,-1.9481492211080016,-0.8431455058161266,-0.12602982371214688,0.8525126746523167
303.72630060767506,2.684106857803439,-1.9227811574627194,-0.7958650589111986,-0.10066176006686467,0.8022056980198313
303.8263006076751,2.777943547292182,-1.9854841946572823,-0.7020283694224556,-0.1633647972614276,0.7207856050575783
303.9263006076751,2.8836981742357537,-2.0529862456273813,-0.5962737424788838,-0.2308668482315266,0.6394074425451528
304.0263006076751,2.9275798602152,-2.071384852938659,-0.5523920564994373,-0.24926545554280422,0.6060282595808872
304.1263006076751,2.8350901625953107,-2.0565274182113087,-0.6448817541193268,-0.23440802081545398,0.6861629522341163
304.22630060767506,2.661945742930495,-2.0454417568252987,-0.8180261737841423,-0.223322359429444,0.8479620847756447
304.3263006076751,2.5008403045898895,-2.0494670050684913,-0.979131612124748,-0.22734760767263662,1.0051794111383694
304.4263006076751,2.491391929685566,-2.0081378860173444,-0.9885799870290715,-0.18601848862148973,1.0059290575698776
304.5263006076751,2.7662409805087194,-1.868787195814595,-0.7137309362059181,-0.04666779841874025,0.7152550123603668
304.6263006076751,3.1790819854331147,-1.7141502763249374,-0.30088993128152275,0.10796912107091727,0.3196749628160233
304.72630060767506,3.3948594390770843,-1.6998015783548566,-0.08511247763755314,0.12231781904099814,0.14901604847985114
304.8263006076751,3.29294358650235,-1.963175794437049,-0.18702833021228749,-0.14105639704119421,0.23425734449156438
304.9263006076751,3.0486581318790478,-2.4511338013954496,-0.4313137848355897,-0.6290144039995949,0.7626865027179692
305.0263006076751,2.937142081287707,-2.8605607150699512,-0.5428298354269305,-1.0384413176740965,1.171761324025649
305.1263006076751,3.0985001797790552,-2.9841744113523268,-0.38147173693558223,-1.162055013956472,1.2230668589827893
305.22630060767506,3.355748666085443,-3.012934344168369,-0.12422325062919448,-1.1908149467725142,1.1972767656033878
305.3263006076751,3.505936229199378,-3.142486810991311,0.025964312484740404,-1.3203674135954562,1.3206226760159616
305.4263006076751,3.4995854432385904,-3.2374734460686927,0.019613526523952984,-1.415354048672838,1.4154899411572304
305.5263006076751,3.3817444836135806,-3.1379497982592865,-0.09822743310105686,-1.3158304008634318,1.3194916719896501
305.6263006076751,3.3204807225806974,-2.9885792728140492,-0.15949119413394008,-1.1664598754181945,1.1773130772937588
305.72630060767506,3.421259987825774,-2.94615748364277,-0.05871192888886334,-1.1240380862469155,1.1255703931462835
305.8263006076751,3.5858123265256445,-2.8512878443342387,0.10584040981100706,-1.029168446938384,1.034596483911736
305.9263006076751,3.7190892789115573,-2.526484548875061,0.2391173621969198,-0.7043651514792062,0.7438463413382753
306.0263006076751,3.7808522561782,-2.1630980714220875,0.3008803394635624,-0.34097867402623283,0.4547476605947484
306.1263006076751,3.746921847800735,-1.9912607377502258,0.26694993108609744,-0.16914134035437112,0.31602382619629393
306.22630060767506,3.6748806409757826,-1.8945653495755335,0.19490872426114514,-0.07244595217967875,0.20793707408811785
306.3263006076751,3.624424398847136,-1.7492379151321784,0.14445248213249862,0.0728814822636763,0.16179687899088288
306.4263006076751,3.6024689032525785,-1.7214764112164012,0.12249698653794105,0.10064298617945355,0.15853870939929526
306.5263006076751,3.6277164316303114,-1.8963516173903139,0.14774451491567397,-0.07423221999445917,0.16534468292924812
306.6263006076751,3.6771317188311414,-1.9733879325227432,0.19715980211650397,-0.15126853512688854,0.24850383757611008
306.72630060767506,3.6497258421810237,-1.7794029572962198,0.16975392546638624,0.042716440099634934,0.17504596386673163
306.8263006076751,3.549856431004251,-1.573774472874692,0.06988451428961362,0.24834492452116264,0.25799040073792895
306.9263006076751,3.46868188461103,-1.5842984704997707,-0.011290032103607572,0.23782092689608403,0.23808876095820447
307.0263006076751,3.451732238388935,-1.6957481090832376,-0.0282396783257024,0.12637128831261712,0.12948815367333702
307.1263006076751,3.4859524042522807,-1.760149693178248,0.005980487537643242,0.061969704217606614,0.062257613767358264
