event_id,event_type,target_id,start_time,execute_time,distance,speed,acceleration,margin
S_00034,shooting,S01,493.15,494.65,24.29217694765792,1.0365205842349925,0.5647451801211103,0.12772010253925922
S_00035,shooting,S01,493.25,494.75,24.022205542541197,1.038122707179419,0.06999526415516408,0.12772010253925922
S_00036,shooting,S01,493.35,494.85,23.697388485230892,1.0379082604385468,0.8181224009812701,0.15972452004161752
S_00037,shooting,S01,493.45,494.95,23.466197190021564,1.0485775848352668,1.1608729538506672,0.15972452004161752
S_00038,shooting,S01,493.55,495.05,23.41752752170626,1.1011943135297888,1.005048052280708,0.15972452004161752
S_00039,shooting,S01,493.65,495.15,23.632860935663487,1.1790687666941488,0.856353566748607,0.15972452004161752
S_00040,shooting,S01,493.75,495.25,24.062963145189006,1.259594527459125,0.7711090617555076,0.21735249621258848
S_00041,shooting,S01,493.85,495.35,24.537132173969887,1.327686334824862,0.5863990236316645,0.21735249621258848
S_00042,shooting,S01,493.95,495.45,24.89739669550096,1.3708151248882972,0.32417545815788634,0.20410413217996165
S_00043,shooting,S01,494.05,495.55,25.175367236487137,1.3923437427927918,0.2015921886347146,0.19298531054051452
S_00044,shooting,S01,494.15,495.65,25.499833924765113,1.4078605622686617,0.24527622130056254,0.18000664300939548
S_00045,shooting,S01,494.25,495.75,25.844689807634087,1.4362404103374813,0.606502904298347,0.16621240769463655
S_00046,shooting,S01,494.35,495.85,26.071323962502436,1.5028285123608585,1.0057464457980916,0.15714704149990255
S_00047,shooting,S01,494.45,495.95,26.159173848233966,1.616055662730538,1.2876515646849331,0.1415656235433779
S_00048,shooting,S01,494.55,496.05,26.24075057035672,1.7421265695136563,1.2411669790463806,0.12893671524317185
S_00049,shooting,S01,494.65,496.15,26.398207028942085,1.8329322561928965,0.9548623308212629,0.08353387190355177
S_00050,shooting,S01,494.75,496.25,26.638792460838957,1.896609208534486,0.8240902361335534,0.051695395732757055
S_00051,shooting,S01,494.85,496.35,26.995147762214597,1.9881420615109993,1.113806959276161,0.0059289692445003706
S_00052,shooting,S02,478.85,480.35,5.444683236294849,1.9326804233279127,0.2594064515573358,0.01653990651628863
S_00053,shooting,S02,478.95,480.45,5.436017172486857,1.9284338617567034,0.5479120958929405,0.01653990651628863
S_00054,shooting,S02,479.05,480.55,5.299027220427164,1.8489766474888012,1.2123778129084488,0.011961088817086568
S_00055,shooting,S02,492.55,494.05,24.146855089746126,1.1132348672598857,0.27715346422207243,0.12772010253925922
S_00056,shooting,S02,492.65,494.15,24.04987259923392,1.135809614850362,0.2705444078446627,0.12772010253925922
