dataset,Delta,bx,by,RMSE,MAE,Huber,points
附件1,-200.5317014517301,0.005380794684770596,-0.023906499818882487,0.13092339462697555,0.12908200736278316,0.008570467630325386,7025
附件1,-200.48170145173012,0.005325727103674183,-0.023290618650962713,0.12780658157041372,0.12601090907239593,0.00816726114635741,7025
附件1,-200.4317014517301,0.005178504864969735,-0.022687434750444546,0.12468682147531066,0.1229387702935493,0.007773401724807996,7024
附件1,-200.3817014517301,0.004997957860259139,-0.022127292117675834,0.12157003909520096,0.1198670773411658,0.0073896372028043455,7024
附件1,-200.3317014517301,0.004868327441918119,-0.021486588577351418,0.11844760811702769,0.1167950755784238,0.007014917934322481,7023
附件1,-200.2817014517301,0.004806134788230665,-0.020939116992016338,0.11533600892401548,0.11372310563650949,0.00665119747726029,7023
附件1,-200.23170145173012,0.004660782182327239,-0.02039430753107152,0.1122209850987703,0.11065025273756245,0.006296774748269214,7022
附件1,-200.1817014517301,0.004485402567085295,-0.019817697338337714,0.1091026502467564,0.10757831194108575,0.005951694145433028,7022
附件1,-200.1317014517301,0.004355863479578392,-0.019183326039715176,0.10598049910627375,0.10450598730871036,0.005615933095407445,7021
附件1,-200.0817014517301,0.004286545413819454,-0.01863823163060463,0.10286850867292728,0.10143364005742395,0.005290965038296057,7021
附件1,-200.0317014517301,0.004143019258796787,-0.01805740432987457,0.09975023818819714,0.0983607822014145,0.004975055009301032,7020
附件1,-199.98170145173012,0.003972829307811732,-0.01748319457338865,0.09663196888691548,0.0952884688127701,0.0046688687054809025,7020
附件1,-199.9317014517301,0.0038434024727314053,-0.016923547366241687,0.0935158651971532,0.09221532146557229,0.004372608521786066,7019
附件1,-199.8817014517301,0.003766958661364672,-0.016352791324410587,0.0904011372053582,0.0891428196060964,0.004086182804010998,7019
附件1,-199.8317014517301,0.0036252205648228397,-0.01573320585234711,0.08727942770479978,0.08606999616609096,0.0038088492502386857,7018
附件1,-199.7817014517301,0.0034602401392760385,-0.015178953302867004,0.0841627050765504,0.08299718797082424,0.0035416804629012006,7018
附件1,-199.73170145173012,0.003330944046871398,-0.014646549723145164,0.08104864153398174,0.0799235824391834,0.0032844411472519345,7017
附件1,-199.6817014517301,0.003247374203947384,-0.014070077960011584,0.07793286843823247,0.07685078703523601,0.0030367659915054254,7017
附件1,-199.6317014517301,0.0031073905791303424,-0.013467427775181173,0.07481240440244728,0.07377758706058168,0.0027984479262376572,7016
附件1,-199.5817014517301,0.0029476371145420455,-0.012910194948981601,0.07169531702187412,0.0707044715321853,0.002570109241433517,7016
附件1,-199.5317014517301,0.002818487884542975,-0.012302471273424764,0.06857472449738511,0.06763119758795937,0.0023512464199461343,7015
附件1,-199.48170145173012,0.002727791744934649,-0.011741022697292713,0.06545966101090611,0.06455796694214838,0.0021424836098313704,7015
附件1,-199.4317014517301,0.002589533759017826,-0.011211944715802336,0.062345172361469914,0.06148396925610311,0.001943460258390696,7014
附件1,-199.3817014517301,0.0024350222849393033,-0.010648897627922649,0.05922749769013106,0.058410580088774505,0.00175394824131724,7014
附件1,-199.3317014517301,0.0023060336188005515,-0.010059137893887238,0.056108183289947045,0.0553369365394339,0.0015740641160491464,7013
附件1,-199.2817014517301,0.0022082109382073334,-0.0095015551477875,0.05299289806682338,0.05226336397790714,0.0014041236227603665,7013
附件1,-199.23170145173012,0.0020716545893391114,-0.008932672478133119,0.049874938715555095,0.049189449602884815,0.0012437547559401882,7012
附件1,-199.1817014517301,0.0019223977029373396,-0.008371023679730472,0.04675729424586273,0.046115744851654136,0.001093122282597094,7012
附件1,-199.1317014517301,0.0017935809130116276,-0.00780420159591344,0.04363968487666527,0.04304170840471357,0.0009522110480673239,7011
附件1,-199.0817014517301,0.0016886314947397452,-0.007249411397805439,0.040524099249231005,0.039967814053912525,0.0008211013099807624,7011
附件1,-199.0317014517301,0.0015537575316684205,-0.006673679989776138,0.03740543013764345,0.03689374199177554,0.0006995831018910625,7010
附件1,-198.98170145173012,0.0014097654266871373,-0.006114082266220233,0.034287882839154564,0.033819729339153885,0.000587829454795795,7010
附件1,-198.9317014517301,0.0012811294227508263,-0.005573921613875932,0.03117228328638623,0.030745279931707923,0.00048585562264335716,7009
附件1,-198.8817014517301,0.001169053076054638,-0.0050177242504061415,0.028056060868399436,0.027671108355927166,0.0003935712757256671,7009
附件1,-198.8317014517301,0.0010358470585281054,-0.004442331177555325,0.024937284337487115,0.024596832468409165,0.0003109340750643401,7008
附件1,-198.7817014517301,0.0008971274973926802,-0.003886961170059655,0.021820024583769464,0.02152250694009555,0.0002380567364181519,7008
附件1,-198.73170145173012,0.0007686787922582816,-0.003321322041042296,0.018702140387034945,0.018448062833652558,0.0001748850275281818,7007
附件1,-198.6817014517301,0.0006494753740109438,-0.002765128980391829,0.015585410265254385,0.015373615084089893,0.00012145250656814839,7007
附件1,-198.6317014517301,0.0005179276480840045,-0.0022169497866721954,0.012468754244966155,0.012298938751033859,7.773491621068075e-05,7006
附件1,-198.5817014517301,0.00038448598419094093,-0.001664107677138038,0.00935165482148931,0.009224326605011036,4.372672395014213e-05,7006
附件1,-198.5317014517301,0.00025622868477848115,-0.0011059191406341817,0.006234211557731567,0.006149641311749061,1.943269687327692e-05,7005
附件1,-198.48170145173012,0.00012989807268404263,-0.0005522750800439624,0.003117192377155864,0.0030749085037125685,4.858444158099312e-06,7005
附件1,-198.4317014517301,3.7594327650936066e-09,-1.604091826035159e-08,9.050426746860143e-08,8.927644717485752e-08,4.095511215014074e-15,7004
附件1,-198.3817014517301,-0.00012815707731206327,0.0005522802374907654,0.0031169990148253407,0.0030747814465948574,4.857841429211073e-06,7004
附件1,-198.3317014517301,-0.0002562212477692505,0.0011030813529302463,0.006233995838791117,0.006149695098246159,1.9431352059032484e-05,7003
附件1,-198.2817014517301,-0.0003896791551665224,0.0016566648080427182,0.009351496458250229,0.009224681228237776,4.372524300433329e-05,7003
附件1,-198.23170145173012,-0.0005179201234080111,0.002201422657863883,0.012468085840396525,0.012299723999264685,7.772658226174816e-05,7002
附件1,-198.1817014517301,-0.0006407996186554854,0.002749109692769758,0.01558482158804148,0.015374873164702629,0.0001214433319655419,7002
