lag,seconds,acf
131,13.100000000000001,-0.07406428910117824
132,13.200000000000001,-0.06971718327530664
133,13.3,-0.06120586877769477
134,13.4,-0.04853343796055142
135,13.5,-0.03432124468652366
136,13.600000000000001,-0.02377872477953107
137,13.700000000000001,-0.01938894000411269
138,13.8,-0.017794030888774036
139,13.9,-0.014295961099989976
140,14.0,-0.010166765011558642
141,14.100000000000001,-0.01084946031411711
142,14.200000000000001,-0.015642557692752548
143,14.3,-0.01935124374267553
144,14.4,-0.018637725098913035
145,14.5,-0.014296129303161584
146,14.600000000000001,-0.011486103800092335
147,14.700000000000001,-0.013579620618930074
148,14.8,-0.017978321319341024
149,14.9,-0.020186996422809324
150,15.0,-0.017045255031789636
151,15.100000000000001,-0.009826943107595666
152,15.200000000000001,-0.003312078337450981
153,15.3,-0.0008311678691427879
154,15.4,0.00024330986481708346
155,15.5,0.004559339204026779
156,15.600000000000001,0.011253439406409053
157,15.700000000000001,0.015089972347045408
158,15.8,0.012118840851499054
159,15.9,0.001982372192261179
160,16.0,-0.010707613113206902
161,16.1,-0.021562518675861356
162,16.2,-0.028740153450874547
163,16.3,-0.032523801748227665
164,16.400000000000002,-0.03215252066814771
165,16.5,-0.02670941018573309
166,16.6,-0.019643519620338324
167,16.7,-0.015701897833433846
168,16.8,-0.016135257421603315
169,16.900000000000002,-0.018432749012118214
170,17.0,-0.02044582393713184
171,17.1,-0.022971650602116193
172,17.2,-0.028376271545429387
173,17.3,-0.037792590341863955
174,17.400000000000002,-0.04870317265380329
175,17.5,-0.055708697051321414
176,17.6,-0.055599548905081536
177,17.7,-0.05181566266503049
178,17.8,-0.05003795556264107
179,17.900000000000002,-0.05188959659616804
180,18.0,-0.05487316284234938
181,18.1,-0.05440465352588676
182,18.2,-0.0480638458637066
183,18.3,-0.03871967405745061
184,18.400000000000002,-0.03198279359567491
185,18.5,-0.029987752255424088
186,18.6,-0.030727078838989032
